address_hash,lock_hash,total_block_reward_shannon,floor_total_block_reward
ckt1qyqdmeuqrsrnm7e5vnrmruzmsp4m9wacf6vsmcwugu,0xe9e412caf497c69e9612d305be13f9173752b9e75bc5a9b6d1ca51eb38d07d59,6706765768223686,6215471
ckt1qyqq5jr0hrm0uc8hduqp6cmjmfqmayghyfvsukcysf,0xe54f1bef9ab063f85ad4840c400688b2ceb40f7a06fa252e93f287fd82559d1c,2469748090098496,2288830
ckt1qyqfhv78ks8xyalzhntde0hjmjrusdyjxyxsw343xc,0x5324b13b906cd47f9225270e5530c5faed5f98fe9f557bf437193cfb694c1501,2346853747476997,2174938
ckt1qyqzasa9ldqf3v20fzr42hl93ktxe2evdf3spzteh5,0x0034bc751826a545fad9d1d01f34ebe2088901677d84d7df1be89baed630ecbd,1833478926190259,1699170
ckt1qyq2cvlfef5kt043vcsy6rrt7snae2emda9spqvj6s,0x26f643cce511eba732e3e3af022cddca395782bb8b4a42843139827eddbfc71b,1319898833597624,1223211
ckt1qyqdmswal8qn2psmwc6u5508xh7zkq7wuvustsvyew,0x4827da5c392dce3d55e31554357efe5d8c9faf08a294cd90a92e8e3e5c8fc0a3,928944489627989,860896
ckt1qyqx6xgf8j4r6t0mwwdrdf3y4efm59jl8y8sel5vch,0xd9f7e1d733e6ba9a19c2e39ed48cac83df93d85a5d7b61adfc55d6f05c9f143f,407586175740345,377729
ckt1qyq98fl86kcmqkdv3cf6u8pgf6f99j93q37sq8sr05,0x7afbc2b162853b5b6d03dadd4bed94604644e953940f0dc16b5387aaa8ecb46d,71134565727531,65923
ckt1qyqfchkwy2jnncscne75ktysa9ww6dnlk8wqvjtqvc,0xb8e522eade870c0da55bfeec7b28f2f734c8b18b37632f950907610ee782c5fb,48306892125935,44768
ckt1qyqwmxws34634ced7l7x7vzgklx22mpmltaq8z0m5x,0x4e9265ae20a0db147c505c27361e45565281664b67698803b58ab3daff318690,28769967557495,26662
ckt1qyq8p2wg2t97c8ja8dyhcl23a9gp4nug7qwqaqeuma,0xeb862b2f605c8b6d6fb5917108ba2d512489ee31e662a8ea7f17c765ccd05bce,20545280491695,19040
ckt1qyqxlzk7suxkdnl6dennf8dc904et3pqfers5fzanz,0x014a18988326acb9143b398acf63e224e30810025ed58ec09b47d0a956ad8070,1626140990015,1507
ckt1qyqv96vz5ssymn3h77unkvg55cdjadeazm9qj2dqk9,0xe21b0c612afa55ee5b17db87fd4c7407b43fe7d420de62e2427b9cc1c0f817ed,1042272824594,965
ckt1qyqt3xk479dmlscp8p945pz4zepr0sq8ef6sansvcc,0xeb1b34703e9801fb5901a4b5fe3f721b27aa21a475e2bd25d031b63da12d1fd1,399543378996,370
ckt1qyqqeqypyh3mjmwuwsh70sax9mtrnluhv0vscr9c73,0xfe3b681904c6f3252190e515efd8a8738c98e98b966e88f95f83ac8d76c9a7b3,367396210571,340
ckt1qyqv795u9fxpfuf9yav33zhyvgtc0m7g7n2qfja0d5,0x1a15e0d0d7aaf31e49c3733c451f0bcfcad3e7be38f3bfb9bf87d5265b86de14,188204928280,174
